"METRO_ID","Metropolitan areas","VAR","Variables","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BE002","Antwerp","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2006","2006","PC","Percentage","0","Units",,,9.77,,
"BE002","Antwerp","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2007","2007","PC","Percentage","0","Units",,,9.76,,
"BE002","Antwerp","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2008","2008","PC","Percentage","0","Units",,,9.75,,
"BE002","Antwerp","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2009","2009","PC","Percentage","0","Units",,,9.74,,
"BE002","Antwerp","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2010","2010","PC","Percentage","0","Units",,,9.72,,
"BE002","Antwerp","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2011","2011","PC","Percentage","0","Units",,,9.69,,
"BE002","Antwerp","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2012","2012","PC","Percentage","0","Units",,,9.67,,
"BE002","Antwerp","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2013","2013","PC","Percentage","0","Units",,,9.68,,
"BE002","Antwerp","POP_SHARE","Population of the metropolitan area as a share of national value (%)","2014","2014","PC","Percentage","0","Units",,,9.66,,
"BE002","Antwerp","POP_DENS","Population density (persons per km2)","2000","2000","RATIO","Ratio","0","Units",,,844.6,,
"BE002","Antwerp","POP_DENS","Population density (persons per km2)","2001","2001","RATIO","Ratio","0","Units",,,850.03,,
"BE002","Antwerp","POP_DENS","Population density (persons per km2)","2002","2002","RATIO","Ratio","0","Units",,,855.51,,
"BE002","Antwerp","POP_DENS","Population density (persons per km2)","2003","2003","RATIO","Ratio","0","Units",,,861.05,,
"BE002","Antwerp","POP_DENS","Population density (persons per km2)","2004","2004","RATIO","Ratio","0","Units",,,866.63,,
"BE002","Antwerp","POP_DENS","Population density (persons per km2)","2005","2005","RATIO","Ratio","0","Units",,,872.26,,
"BE002","Antwerp","POP_DENS","Population density (persons per km2)","2006","2006","RATIO","Ratio","0","Units",,,877.94,,
"BE002","Antwerp","POP_DENS","Population density (persons per km2)","2007","2007","RATIO","Ratio","0","Units",,,883.68,,
"BE002","Antwerp","POP_DENS","Population density (persons per km2)","2008","2008","RATIO","Ratio","0","Units",,,889.46,,
"BE002","Antwerp","POP_DENS","Population density (persons per km2)","2009","2009","RATIO","Ratio","0","Units",,,895.3,,
"BE002","Antwerp","POP_DENS","Population density (persons per km2)","2010","2010","RATIO","Ratio","0","Units",,,901.19,,
"BE002","Antwerp","POP_DENS","Population density (persons per km2)","2011","2011","RATIO","Ratio","0","Units",,,907.13,,
"BE002","Antwerp","POP_DENS","Population density (persons per km2)","2012","2012","RATIO","Ratio","0","Units",,,913.13,,
"BE002","Antwerp","POP_DENS","Population density (persons per km2)","2013","2013","RATIO","Ratio","0","Units",,,919.18,,
"BE002","Antwerp","POP_DENS","Population density (persons per km2)","2014","2014","RATIO","Ratio","0","Units",,,925.29,,
"BE003","Ghent","POP","Total population of the metropolitan area (persons)","2000","2000","PER","Persons","0","Units",,,539342,,
"BE003","Ghent","POP","Total population of the metropolitan area (persons)","2001","2001","PER","Persons","0","Units",,,542912,,
"BE003","Ghent","POP","Total population of the metropolitan area (persons)","2002","2002","PER","Persons","0","Units",,,546511,,
"BE003","Ghent","POP","Total population of the metropolitan area (persons)","2003","2003","PER","Persons","0","Units",,,550143,,
"BE003","Ghent","POP","Total population of the metropolitan area (persons)","2004","2004","PER","Persons","0","Units",,,553804,,
